selection,horizon,observations,win_rate,average_net_return,median_net_return,average_winner,average_loser,profit_factor,best,worst
ALL,1,41329,0.508480727818239,0.0007941089345062049,0.00028393071862398145,0.012382072214602097,-0.011193734342603926,1.1443326334285773,0.18863260416135752,-0.3304666656457682
ALL,3,41327,0.5223945604568442,0.002346783230211563,0.001438400498645409,0.022582095020624107,-0.019786165713106728,1.2483373655563312,0.26916408408398707,-0.32206976146246313
ALL,5,41325,0.5368905021173623,0.00387647964669796,0.0028529218943400547,0.029558096706977694,-0.025896643862363934,1.3232290127716564,0.28480801762591423,-0.36737557399826437
TRADE,1,415,0.5614457831325301,0.002411563223200501,0.0018945087527253435,0.01512229608512532,-0.01386096840772523,1.396717891639347,0.10195487789974123,-0.20018042063579278
TRADE,3,415,0.5903614457831325,0.0077963833845956605,0.006400921889235134,0.02794820708875916,-0.02124595077728703,1.895810588740821,0.1837360354487403,-0.11692223136784408
TRADE,5,415,0.6024096385542169,0.010304682149778812,0.007576694729426681,0.03517505329007049,-0.027377698365814634,1.9466769841592477,0.26879909455735973,-0.13573534636693874
WATCH,1,11107,0.5512739713694067,0.0025347441877926636,0.001714991363816143,0.014231227627567934,-0.011834751819780366,1.477302510979121,0.18863260416135752,-0.19802284236192946
WATCH,3,11105,0.5828905898244034,0.00605286028493681,0.005119442180460787,0.02519162840349529,-0.02069265915190021,1.7012846895066576,0.26916408408398707,-0.16945447067609798
WATCH,5,11103,0.5917319643339638,0.008561279279582931,0.007173972846099108,0.033057750944469645,-0.02694320314669232,1.7782946760332285,0.28480801762591423,-0.19003442952818184
WAIT,1,29807,0.49179722883886334,0.00012297533206178453,0.0,0.011566133149493858,-0.010950780308665488,1.0220971319336296,0.16914907785692823,-0.3304666656457682
WAIT,3,29807,0.49890965209514543,0.0008901599619593654,0.0,0.02135781911153808,-0.019488425952166582,1.091153900261271,0.2547329707892392,-0.32206976146246313
WAIT,5,29807,0.5155500385815412,0.002041909432899175,0.0011796709999631894,0.027970475994665903,-0.025551184912992055,1.1649591859724961,0.2594186828747582,-0.36737557399826437
