signal_date,candidates,strict_trades,balanced_trades,moderate_trades,rejected,regime
2026-08-10,59,0,0,0,59,UNFAVORABLE
2026-08-11,59,0,0,0,59,UNFAVORABLE
2026-08-12,59,0,0,0,59,UNFAVORABLE
2026-08-13,59,0,0,0,59,UNFAVORABLE
2026-08-14,59,0,0,0,59,UNFAVORABLE
2026-08-17,59,0,0,0,59,UNFAVORABLE
2026-08-18,59,0,0,0,59,UNFAVORABLE
2026-08-19,59,0,0,0,59,UNFAVORABLE
2026-08-20,59,0,0,0,59,UNFAVORABLE
2026-08-21,59,0,0,0,59,UNFAVORABLE
2026-08-24,59,0,0,0,59,UNFAVORABLE
2026-08-25,59,0,0,0,59,UNFAVORABLE
2026-08-26,59,0,0,0,59,UNFAVORABLE
2026-08-27,59,0,0,0,59,UNFAVORABLE
2026-08-28,59,0,0,0,59,UNFAVORABLE
