symbol,price,rsi,vol_ratio,atr_pct,trend,p1,er1,median1,p3,er3,median3,p5,er5,median5,analogs,quality,score,stop,target1,target2,rr1,rr2,action,priority,signal_date,regime,nifty,sma50,vix
TITAN,5169.2001953125,71.92795532765099,0.6380554058203087,0.015055432828135635,0.08591825208384685,0.7903012277348819,0.0053938963160108065,0.00315570957495237,0.7530012399104027,0.012868837606876574,0.009968806205201797,0.9047450600439122,0.017868348474878136,0.016855671931880534,20,0.8760988270394234,0.5550612310468457,5052.46337583893,5235.721793183411,5261.565265738752,0.5698424727596084,0.7912248324288454,REJECT,2,2026-08-28,MIXED,24175.650390625,24208.1930078125,10.680000305175781
INDUSINDBK,994.0,43.627967276667746,1.016160051586129,0.018372484061362597,-0.004174582233380519,0.8497900870696219,0.011026143930224788,0.011027470002546336,0.7432438239516045,0.018654361838888956,0.017259900255106042,0.7887648395227468,0.025870299470001128,0.021694431620846166,20,0.795402331145983,0.4509805738783296,966.6066262645083,1012.5424356678557,1019.7150776731811,0.6768949252801072,0.9387335025427663,REJECT,2,2026-08-28,MIXED,24175.650390625,24208.1930078125,10.680000305175781
NAUKRI,1354.0,63.60555167306723,0.9522368103219391,0.025713614132730458,0.1259575393304515,0.44380713369135644,0.0039602638863109815,-0.0007717423574059579,0.5133799863214591,0.010931356220718677,-0.0009080229426280395,0.6187068375233749,0.02462699730882925,0.005285752737735017,20,0.8200192108861206,0.4196951266272162,1301.7756496964244,1368.8010563228531,1387.3449543561549,0.2834129335609895,0.6384943836031183,REJECT,2,2026-08-28,MIXED,24175.650390625,24208.1930078125,10.680000305175781
TECHM,1640.9000244140625,61.510275096848396,1.3109704884947786,0.022736201821917358,0.06586040631112167,0.8506418127548881,0.008841299632044393,0.008970076643877056,0.6498889649034557,0.009691817272896731,0.014292261257312089,0.6549329581797224,0.008574717677678931,0.00537042745329519,20,0.8269251481175428,0.3915603859826365,1584.9382732270617,1664.3521962601178,1674.3383094376786,0.41907501728614505,0.5975203476367159,REJECT,2,2026-08-28,MIXED,24175.650390625,24208.1930078125,10.680000305175781
DRREDDY,1178.0,44.88422731280721,0.3949911467012816,0.018471673520254688,-0.03971115993800567,0.5034170253324187,0.00507064174943657,0.0008419706943602612,0.8977804222475629,0.020918425818100467,0.014270369970052155,0.7513429620873786,0.02608281865863921,0.019036376325886173,20,0.848830043432395,0.378812071495624,1145.36055288971,1202.6419056137224,1208.7255603798772,0.7549731320649067,0.9413627711294972,REJECT,2,2026-08-28,MIXED,24175.650390625,24208.1930078125,10.680000305175781
SHRIRAMFIN,1086.9000244140625,47.532957233067755,0.5615962568628187,0.024799504977398825,0.018054624737394498,0.6985680574178386,0.0036356399629721746,0.0053931355216859655,0.656874211001131,0.012764684704444388,0.01014309295816973,0.6518391228092144,0.016566982509393757,0.010139557088396534,20,0.812988003957049,0.37190295448951843,1046.4681505659753,1100.773960530961,1104.9066781079898,0.34314353495033006,0.4453578817935295,REJECT,2,2026-08-28,MIXED,24175.650390625,24208.1930078125,10.680000305175781
NESTLEIND,1454.5999755859375,43.89451875897243,0.2564829876625097,0.020267870925508344,-0.004457582809637262,0.6158323339945745,0.0036008599831949617,0.003778383971879462,0.8459139659814838,0.011342305887439697,0.009907967787747496,0.7665291702687791,0.014505169457333347,0.010309916616978776,20,0.8247851180222294,0.3711721008080581,1410.3775087558024,1471.0984934528956,1475.6991947244444,0.37307999868780006,0.4771153816351326,REJECT,2,2026-08-28,MIXED,24175.650390625,24208.1930078125,10.680000305175781
SBIN,1047.5,49.38883579594817,0.5039600839215453,0.016264885457529465,0.004461829391136707,0.6046018220541911,0.0025895055083664043,0.0005424348252262012,0.7131776518548647,0.007467805498072126,0.0062293404138102915,0.7560632246952671,0.014888890612492526,0.011045557846786958,20,0.8614185344658042,0.3241514761282219,1021.9437987248568,1055.3225262592305,1063.0961129165858,0.306091119529526,0.6102672595459273,REJECT,2,2026-08-28,MIXED,24175.650390625,24208.1930078125,10.680000305175781
VEDL,287.95001220703125,59.6221986170908,1.397373379598893,0.028216227842979467,0.05663137492525672,0.696480060337265,0.011053463525715004,0.011048150228021414,0.5594569992505971,0.013119137616672985,0.009694739580744516,0.40348300122515895,0.007685041291269615,-0.00807300427834784,20,0.8474274045584823,0.317136092408148,275.7627174792978,291.72766804389795,293.4780340521613,0.30996672528729896,0.4535889193317436,REJECT,2,2026-08-28,MIXED,24175.650390625,24208.1930078125,10.680000305175781
HINDALCO,1037.4000244140625,53.52055666378776,0.36339176120809574,0.02309772725894079,0.04612731471988463,0.6468686680362393,0.004974602202112897,0.008173392020298875,0.6432881830200105,0.007751983900392761,0.01458796329293377,0.7062543743704595,0.0027279625401284225,0.007844772569629122,20,0.8529958035785936,0.29604347108300255,1001.4576501805607,1052.5335778903034,1058.8487793576453,0.42105046756023473,0.5967539819222752,REJECT,2,2026-08-28,MIXED,24175.650390625,24208.1930078125,10.680000305175781
